episode,avg_contribution,total_contribution,social_welfare,fairness,action_diversity,agent_0_contrib,agent_0_norm_contrib,agent_0_shapley,agent_0_payoff,agent_1_contrib,agent_1_norm_contrib,agent_1_shapley,agent_1_payoff,agent_2_contrib,agent_2_norm_contrib,agent_2_shapley,agent_2_payoff,agent_3_contrib,agent_3_norm_contrib,agent_3_shapley,agent_3_payoff
7200,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
7300,0.625,2.5,11.25,-0.2264808358852899,0.75,0.0,0.0,-0.7899305555555555,2.6875,0.5,50.0,0.27951388888888884,2.6875,0.0,0.0,-0.7899305555555555,3.6875,2.0,100.0,3.487847222222222,2.1875
7400,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
7500,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
7600,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
7700,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
7800,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
7900,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8000,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8100,0.4375,1.75,9.375,-0.3486590029810315,0.75,0.0,0.0,-0.5529513888888888,2.03125,1.0,100.0,1.5859374999999998,1.53125,0.75,50.0,1.0512152777777777,2.28125,0.0,0.0,-0.5529513888888888,3.53125
8200,0.0,0.0,5.0,1.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0
8300,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8400,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8500,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8600,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8700,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8800,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
8900,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
9000,0.625,2.5,11.25,-0.32663316528058806,0.5,0.0,0.0,-0.7899305555555555,2.6875,1.0,100.0,1.3489583333333335,2.1875,1.5,100.0,2.418402777777778,2.1875,0.0,0.0,-0.7899305555555555,4.1875
9100,0.25,1.0,7.5,-0.173333332689676,0.5,0.0,0.0,-0.3159722222222222,1.375,1.0,100.0,1.8229166666666667,0.875,0.0,0.0,-0.3159722222222222,2.375,0.0,0.0,-0.3159722222222222,2.875
